843 945
506 841 935
828 668 -433
760 739 -878
161 547 -709
361 755 54
27 471 823
515 275 -990
817 596 510
807 791 -976
495 494 -518
407 160 978
818 10 807
574 449 -2
163 143 679
414 90 847
423 593 -940
761 198 -142
675 765 870
498 152 -731
47 642 625
390 589 467
638 220 -207
760 842 -58
51 468 338
435 475 -764
137 603 307
645 2 -897
377 355 -939
162 494 499
584 521 240
727 358 -651
791 461 -823
359 235 721
812 458 295
520 610 902
373 336 -717
343 542 769
76 162 261
318 264 890
460 58 -571
712 348 -97
348 82 672
496 280 664
760 573 -766
806 423 528
760 446 405
60 819 602
690 473 -620
261 601 -828
519 422 436
777 484 431
159 713 666
145 672 -951
99 653 -547
808 565 980
646 397 -965
781 74 -186
712 119 -932
292 731 176
348 249 -757
570 209 512
542 761 -889
594 704 367
215 538 833
104 788 751
361 103 857
843 539 -640
837 300 -235
589 456 -240
151 478 559
601 719 873
416 816 910
270 56 873
122 18 996
699 174 -571
472 576 421
128 589 0
766 764 -234
237 211 -766
609 459 40
411 441 -679
322 70 -600
256 263 653
201 662 180
66 589 -650
90 683 590
725 277 -831
744 727 -269
294 516 -399
329 38 -164
781 67 -851
594 75 569
565 628 -608
197 601 228
317 490 644
812 346 -693
256 428 351
23 239 224
160 289 752
225 758 87
407 763 -948
448 14 -43
85 685 702
613 562 -793
169 622 173
57 9 51
475 36 733
397 435 835
252 245 -35
148 439 -480
75 796 -435
246 36 -915
469 462 319
685 651 271
730 176 -129
99 340 5
787 432 -568
123 508 338
323 555 -339
248 163 553
6 799 -893
551 499 -877
305 71 504
754 423 962
42 775 907
258 312 376
694 91 308
397 392 749
558 753 -128
32 246 -910
537 669 339
36 525 -163
486 428 -535
708 625 -841
561 355 855
739 631 -473
36 351 426
718 136 413
74 620 785
307 223 43
515 164 -711
109 728 942
338 42 -822
826 135 806
301 146 110
186 650 82
620 654 -419
816 6 -889
72 202 111
277 607 -717
744 188 843
510 154 240
299 595 -715
782 698 -508
543 599 884
662 268 68
263 825 -773
662 217 925
197 511 282
579 587 -595
144 747 -363
459 353 553
499 501 -734
732 308 375
73 640 -585
457 171 964
502 792 27
493 237 -852
455 449 683
53 787 884
111 833 -835
688 177 534
219 692 820
752 369 787
742 371 -614
779 772 942
92 486 710
470 87 871
122 550 508
563 392 835
160 672 -809
248 85 531
754 494 689
809 486 -863
456 765 -256
580 272 -755
522 559 496
702 90 -20
824 163 591
167 280 -689
316 557 -388
239 424 -305
681 293 -486
530 614 -733
249 553 258
533 282 374
245 540 202
758 596 72
521 827 523
807 438 -23
478 315 -846
823 672 -423
589 491 69
701 482 308
