18
830 1726
505 101 594
312 824 811
376 807 425
345 808 424
610 528 877
108 402 858
743 584 439
574 587 309
491 830 994
304 388 59
317 119 771
827 254 424
782 437 899
332 778 817
642 609 679
566 743 905
178 479 509
476 45 345
593 513 329
523 126 238
9 301 752
86 348 494
770 409 577
543 684 281
476 219 272
427 413 385
569 479 843
353 648 888
627 341 546
819 4 529
621 153 797
219 148 287
191 62 646
503 485 984
694 46 910
330 723 32
238 290 63
534 393 629
397 760 72
393 477 816
708 113 873
453 440 706
653 434 461
396 411 55
532 631 896
120 536 736
42 220 739
363 134 120
723 745 291
291 671 89
14 52 926
797 301 67
248 731 797
222 207 528
308 680 136
329 270 582
180 286 392
579 60 159
169 268 902
237 387 189
608 814 88
643 543 52
482 463 707
170 656 968
267 425 997
439 233 612
161 696 478
679 474 412
696 756 539
645 654 285
161 181 769
478 514 503
823 15 988
397 221 757
516 228 22
501 448 179
365 342 521
318 643 170
337 114 121
139 448 775
232 70 465
465 818 29
128 752 69
394 164 881
801 127 925
411 581 78
75 530 502
543 214 17
593 70 470
160 485 820
296 39 601
412 262 345
747 86 10
759 297 354
795 304 325
6 293 586
620 661 227
187 201 29
16 17 409
52 465 107
497 35 961
538 295 781
302 33 264
662 776 935
239 45 346
792 620 73
56 450 358
26 794 503
413 415 414
82 349 413
124 710 690
600 743 830
70 211 815
748 489 957
686 731 861
655 168 719
363 340 886
64 769 352
189 209 614
585 520 72
748 814 223
173 234 77
655 523 309
241 445 405
501 574 908
738 188 262
298 692 227
425 378 656
56 359 978
215 334 823
509 518 100
545 318 636
221 814 502
187 336 515
725 510 504
371 548 60
812 28 64
712 155 210
573 677 16
206 282 205
731 116 141
219 605 520
171 490 448
573 14 137
634 748 137
290 597 173
715 65 420
418 629 880
293 47 265
228 761 569
760 764 417
689 533 434
141 722 874
56 127 504
61 93 76
328 139 717
349 268 924
507 43 308
33 630 465
225 194 532
745 668 933
372 255 920
500 382 584
284 10 925
621 163 838
160 728 923
593 453 231
199 650 113
589 308 988
181 446 245
164 493 924
55 62 987
235 561 713
389 694 848
823 95 221
186 484 59
575 124 775
295 247 460
441 589 153
599 84 194
96 443 355
348 360 277
674 203 726
475 62 212
558 563 774
802 596 749
520 145 523
664 27 868
143 534 365
667 420 567
144 72 47
288 731 901
200 690 900
355 252 781
464 359 273
387 430 291
344 111 926
729 584 73
209 559 929
447 238 165
545 50 897
71 68 429
214 120 349
454 142 379
450 199 513
375 206 963
146 636 20
570 691 793
153 100 285
620 331 1
275 490 416
318 174 747
86 535 305
41 238 16
803 204 230
86 109 142
415 499 929
691 410 710
11 611 179
333 28 931
757 299 414
783 794 449
559 26 314
536 258 623
547 514 695
569 1 683
255 190 133
94 730 730
457 454 915
507 363 194
365 756 113
439 251 348
627 694 502
143 542 511
227 136 23
238 782 21
469 673 550
448 340 848
745 756 491
610 389 509
81 314 742
618 801 395
315 244 447
585 547 409
543 435 112
617 727 298
671 734 522
151 132 272
703 822 365
258 452 403
86 251 94
638 184 328
563 203 340
135 828 441
134 67 81
80 42 806
133 238 868
188 448 24
11 734 192
520 369 2
385 123 630
776 41 216
128 26 70
635 591 976
599 723 44
392 597 626
354 712 193
210 498 453
658 339 301
745 545 243
593 128 989
338 453 759
329 73 25
334 328 390
348 408 561
27 692 908
543 644 183
325 615 117
246 803 473
675 633 988
455 666 692
101 383 161
431 721 632
568 69 326
492 566 270
636 617 698
454 420 391
102 371 578
415 9 952
727 798 697
191 601 699
561 198 774
264 480 577
30 323 399
374 180 19
246 140 345
103 826 779
794 465 654
24 59 316
139 108 30
331 655 71
639 484 336
326 807 139
259 344 640
102 473 711
502 716 886
188 651 167
164 469 427
179 630 105
339 454 533
351 363 402
347 472 443
800 588 978
436 252 232
613 60 145
547 335 462
574 459 702
425 106 299
360 775 907
434 781 712
432 113 471
347 379 661
230 74 819
249 747 582
118 88 325
516 797 722
10 255 895
484 541 618
343 612 568
66 222 93
146 453 486
77 816 456
195 313 58
774 89 133
583 676 283
389 393 587
349 740 590
56 626 31
39 213 518
686 644 893
825 544 777
681 700 941
171 41 693
651 43 231
450 644 894
286 136 138
27 677 225
63 762 122
597 18 86
27 516 964
249 311 204
1 123 339
197 787 290
293 38 54
801 310 805
757 381 198
822 357 924
446 39 884
385 624 219
812 823 841
238 151 238
290 389 881
