19
924 838
693 273 444
159 829 -181
398 259 595
309 337 -76
209 682 -630
664 233 -552
358 693 976
293 819 -800
82 704 -313
827 370 -661
887 399 -2
175 64 -342
132 859 242
409 548 -235
656 536 -75
81 80 -533
830 788 -234
290 56 755
260 7 -958
862 532 -139
816 224 -119
102 664 116
304 642 762
204 339 -560
630 623 -375
680 820 -473
369 303 -607
95 306 -364
174 681 421
174 743 -790
15 90 -777
164 531 300
708 290 -141
457 507 735
352 674 -689
15 453 -373
766 527 133
170 859 -917
682 631 225
647 907 -135
277 555 293
98 559 22
543 789 -998
472 86 -887
919 115 983
864 5 653
853 814 528
377 830 -173
391 904 100
130 507 -77
355 600 -7
157 676 646
552 109 617
397 795 -360
381 254 180
157 907 -328
252 696 -607
611 760 -56
802 853 -535
253 748 429
3 450 -145
66 147 933
796 187 -766
893 867 -283
763 557 -295
824 393 345
277 829 -303
531 25 -38
210 18 -708
193 367 -911
340 391 139
17 340 829
121 214 443
218 475 26
821 157 -814
914 337 620
832 865 -593
718 828 -143
268 866 -339
430 674 -746
166 351 -668
720 359 -823
348 852 -796
324 80 -478
662 186 429
839 206 -331
285 313 -373
527 512 209
365 637 655
140 642 -427
291 376 -692
661 145 302
758 605 -360
390 669 451
56 358 793
215 802 61
775 451 -690
456 830 847
647 303 175
547 186 -705
83 711 -794
194 375 -474
599 242 1000
776 821 297
195 835 -427
226 464 -177
169 656 -501
644 290 -350
919 620 -557
752 105 -998
645 178 -155
359 805 -534
664 257 -693
570 428 427
697 14 -740
738 22 -912
891 515 56
179 800 453
430 70 -78
772 666 -251
477 370 682
139 479 -312
200 689 114
601 282 762
838 126 84
174 867 -790
117 124 930
597 867 620
82 103 -2
727 315 -994
465 667 -250
407 257 -24
136 425 -816
228 858 -714
109 187 -914
112 444 199
438 803 863
507 132 -638
725 468 -549
440 123 336
78 313 476
315 740 -744
822 52 -874
769 269 94
613 377 288
763 444 -182
811 491 -704
619 26 563
413 433 -565
88 543 -411
309 865 -117
116 583 583
272 280 355
507 6 -291
13 535 294
226 80 361
773 339 -888
132 526 -544
62 486 404
861 533 -616
884 116 532
345 462 350
842 760 -540
462 673 -862
794 599 359
444 13 714
121 435 -845
879 435 -307
228 167 308
133 307 -617
818 827 739
556 711 -341
586 692 -246
499 459 265
796 672 -350
8 172 693
443 503 -50
303 871 631
619 653 -925
571 664 -636
151 909 -611
24 506 -738
907 711 -93
720 533 269
88 887 428
217 359 508
473 164 317
888 157 -302
764 258 680
718 520 74
105 794 -427
485 25 -241
356 529 989
910 389 -202
214 415 439
229 790 -870
828 45 516
444 379 -10
313 807 -26
67 66 -31
547 765 90
329 392 905
284 652 -551
12 257 229
373 576 568
703 129 -694
401 550 828
382 695 844
426 448 -659
857 676 52
754 887 -383
311 498 766
537 810 543
656 535 875
274 475 -187
146 740 210
652 565 133
210 910 342
622 497 -907
455 528 -494
657 820 -44
235 196 -787
430 644 -486
577 268 -707
467 836 6
873 348 -384
320 671 165
688 600 -87
239 317 -758
186 830 899
297 604 -731
809 518 -371
853 757 161
859 827 -974
83 231 951
920 597 -518
816 267 -914
51 466 -941
445 189 535
489 279 104
633 647 570
909 195 -315
2 352 695
4 832 -382
775 818 -698
340 295 93
78 823 418
803 236 785
447 370 -716
597 221 816
597 586 595
151 836 749
426 557 -701
169 90 418
206 424 428
478 678 -989
335 870 712
54 336 745
831 650 -483
740 548 -514
478 98 -912
53 403 -617
736 801 -35
660 653 -609
424 709 305
798 575 304
296 264 740
123 641 -371
124 556 -784
561 460 -725
712 777 -120
325 259 813
418 446 99
254 497 115
815 480 -750
360 597 -375
470 259 -404
386 449 -469
253 366 -343
761 839 -925
906 484 959
235 501 -520
570 851 606
97 570 902
594 226 84
754 205 632
142 176 577
322 487 -35
510 359 13
592 761 -719
886 546 554
245 503 20
759 822 -856
910 43 -23
586 325 -374
864 629 200
455 843 -130
214 268 -708
725 712 -464
860 293 -21
732 363 988
418 410 -350
730 674 43
358 921 -387
807 378 -112
297 598 -191
665 667 30
13 906 980
890 124 -146
410 148 -204
702 566 922
430 105 676
678 483 -725
771 94 -578
720 867 -303
703 35 599
790 114 -402
847 626 294
873 816 -191
531 855 291
490 179 502
866 484 -517
643 645 -252
826 760 -296
655 260 294
377 769 842
577 140 -394
1 116 235
171 577 -762
867 98 -764
170 56 777
195 518 -205
481 21 -237
741 793 840
768 408 156
195 833 954
758 237 578
778 47 75
273 195 743
860 522 -11
143 506 954
373 426 -128
469 540 224
319 382 -766
338 844 -306
734 745 204
917 909 -156
603 820 871
166 697 -112
701 649 660
170 637 -291
97 688 -826
838 514 -10
760 37 -99
644 580 -718
874 620 -819
317 298 783
494 58 526
370 81 606
197 426 553
549 903 -354
329 868 556
698 921 680
380 87 -578
632 548 -794
440 415 -617
99 169 791
804 837 -422
606 760 -920
296 79 152
513 241 -412
135 389 -804
152 344 -850
541 204 -558
492 300 686
181 545 159
784 373 -654
31 698 550
363 65 -237
190 508 -904
383 5 236
57 67 -925
771 417 -868
661 93 67
6 501 289
446 386 -14
703 376 88
825 212 957
660 881 227
522 395 -471
165 208 -731
466 787 -835
832 367 427
130 851 -132
716 658 730
250 790 -516
921 856 -830
87 586 -243
521 491 -89
55 731 709
671 320 912
150 733 -102
795 425 -164
861 792 680
389 714 -172
335 670 -858
694 156 721
787 173 619
512 36 -645
810 670 -91
151 872 -239
891 784 194
818 250 -267
134 573 -998
212 543 649
643 693 489
332 752 198
49 417 928
760 651 196
129 861 843
649 342 401
889 673 389
870 212 -508
392 233 -9
621 57 -349
682 802 -685
279 266 -392
500 456 488
289 73 -23
181 768 66
71 192 950
726 740 844
1 224 -809
163 629 -553
240 425 882
176 653 -28
195 838 -691
734 561 129
810 533 24
190 822 306
464 633 407
54 306 772
493 738 -636
63 391 -514
761 191 614
121 865 721
475 223 -428
284 31 -674
214 716 139
846 11 707
592 280 -942
471 303 -806
758 128 640
657 215 -516
114 675 -956
461 600 -416
594 857 -540
813 306 -843
337 758 779
882 410 438
86 544 -950
850 486 -991
378 907 1
294 199 -558
586 891 -535
29 585 -967
539 409 380
523 169 407
657 220 553
23 852 230
388 345 153
191 160 -233
484 316 -291
519 105 123
720 55 305
22 774 -378
666 500 -491
123 449 572
406 577 216
235 813 -845
92 564 -103
428 476 -58
901 24 982
788 349 183
608 290 276
289 641 345
266 211 -952
735 699 -500
501 137 282
223 6 602
463 524 666
299 80 -833
541 239 -815
539 859 -147
525 401 967
83 280 -461
618 7 -191
865 580 -290
201 466 -633
622 439 -182
359 94 439
894 390 617
894 334 21
898 317 282
52 864 -888
760 401 -3
287 728 -777
496 444 131
193 170 -265
171 659 231
276 866 982
795 864 -638
231 237 -841
659 629 508
900 343 370
201 606 344
223 163 574
557 342 175
396 154 -389
407 891 640
257 437 382
584 879 -497
707 615 413
92 859 397
306 178 6
236 462 -392
310 118 501
344 371 -492
729 569 330
844 385 545
545 635 -16
441 897 855
324 556 -468
47 734 941
410 876 85
190 152 -368
585 311 -212
235 126 -485
278 177 515
620 15 492
739 237 -626
754 791 -928
178 696 -742
806 424 277
799 509 530
58 494 -82
455 516 408
102 530 432
617 803 -159
474 81 51
330 466 642
533 363 -928
869 918 -514
20 764 482
535 87 533
382 79 -641
118 251 -822
183 3 739
471 864 -237
549 260 -476
776 83 47
11 181 495
172 325 -854
71 398 -261
228 282 -339
25 739 113
147 165 -289
849 329 233
465 703 -386
670 385 -26
676 876 -104
750 650 -339
262 899 -225
891 233 865
455 106 474
329 621 -971
510 506 700
544 284 -383
408 129 -302
674 749 -371
659 766 -16
77 702 -612
857 217 196
273 605 315
469 102 -619
463 439 733
716 676 -442
455 857 -459
97 648 -231
332 634 215
252 258 612
169 330 196
24 587 -736
289 220 -722
872 135 5
346 22 -371
512 52 604
628 72 583
691 57 726
121 584 -292
86 795 -748
856 363 159
834 803 -962
628 53 560
747 353 441
394 392 -136
368 631 644
275 904 -120
233 506 483
685 118 -815
68 887 -201
277 883 -720
313 328 -395
850 131 -230
130 642 291
108 4 -38
262 217 240
892 885 -497
469 266 -407
823 501 484
189 97 -441
667 559 420
295 203 -749
848 836 -554
523 103 671
517 330 332
486 638 228
21 693 -302
278 314 -459
580 571 -957
314 123 28
507 373 -70
278 121 -918
384 68 119
729 537 -117
672 600 -307
674 229 813
861 561 259
451 745 -56
122 719 531
839 93 822
379 327 -824
600 78 286
727 424 110
448 402 -104
271 184 228
103 264 -153
456 134 979
776 601 796
110 92 -560
717 31 -907
136 320 136
709 127 441
626 563 132
100 521 387
81 746 925
279 888 -848
413 456 -491
333 40 965
807 357 -556
297 375 -873
829 740 -275
161 81 780
110 918 -33
822 609 745
435 667 -952
455 820 192
834 277 453
632 45 168
241 201 -598
73 616 -461
408 363 -182
517 721 -526
603 866 534
15 128 183
208 172 -654
558 151 -340
405 586 849
472 468 903
647 219 -690
723 760 570
65 313 -821
516 904 -77
94 876 -123
652 635 335
816 913 -415
822 852 -694
476 451 32
821 455 -381
819 284 -881
49 683 814
195 136 -713
745 190 -747
632 880 -902
366 778 267
745 219 770
662 887 -716
680 521 42
256 203 -149
77 670 -658
44 31 830
543 918 -911
917 740 916
60 407 -670
431 74 -666
270 741 781
248 427 -216
762 284 -247
502 546 -640
545 418 118
433 94 -869
833 70 -479
529 243 -290
629 2 -970
370 435 162
621 771 -610
64 892 -128
562 425 -297
21 708 -51
535 826 -682
543 869 469
60 844 171
883 444 -80
750 254 -887
851 924 -866
332 890 -618
34 130 -854
349 261 -35
170 883 -753
781 283 -109
862 243 -299
95 815 -331
447 501 508
281 758 -89
922 812 -896
500 854 -847
24 629 90
646 875 -224
589 51 801
730 703 684
733 624 -75
102 273 -941
496 794 49
529 550 -599
650 4 683
108 614 503
410 77 341
316 627 200
236 253 -531
126 299 163
471 76 713
316 138 -155
116 303 -721
218 669 131
653 442 -338
396 793 828
177 168 807
35 431 771
896 760 176
601 618 -507
144 158 -240
460 536 620
554 139 -526
57 90 861
605 439 836
828 452 454
179 310 747
201 302 549
851 207 810
812 493 920
766 230 -987
759 551 519
91 190 220
508 808 642
25 882 -472
453 847 -456
338 296 -45
880 290 416
642 773 759
341 75 794
608 708 -573
400 870 354
606 353 -234
306 799 -151
714 57 -352
673 345 -780
119 165 -946
361 189 683
791 87 -558
75 408 -862
897 77 -171
686 529 149
7 451 753
635 519 -4
399 127 951
494 543 -925
781 491 513
709 355 177
486 326 -482
710 624 -646
628 28 413
257 542 -523
77 268 116
701 533 404
100 307 -993
79 677 -438
362 596 -672
895 366 779
858 153 1000
719 502 553
492 533 730
618 707 733
271 190 -518
498 859 -650
365 181 -56
87 308 -137
508 755 -509
257 2 476
244 821 891
900 735 -428
249 483 -365
248 83 438
299 15 -801
356 160 55
438 678 -976
383 73 -343
874 239 -173
617 682 -330
