8444 28213
6750 2713 -470
1460 62 280
459 5997 -420
6684 4436 206
4967 1652 -840
1761 5398 -848
1661 2943 -703
4517 396 311
4747 300 400
8341 1376 -26
1543 3807 797
4108 3754 -993
7722 3617 -949
7406 859 154
3298 1268 -130
583 2831 911
1655 167 -109
220 1736 754
1599 6112 -734
7811 4540 -575
7460 708 -314
5390 3813 -873
3917 2089 496
5655 3786 26
5374 772 -777
3861 6370 625
750 8287 16
205 2186 -126
6180 6750 996
4866 4412 639
4768 645 -608
6826 6464 -140
2580 7983 869
1349 4054 734
1517 2553 -987
7855 6903 332
314 5721 935
2733 2174 752
1824 6803 -774
5799 8170 504
5814 4274 477
4720 907 330
1116 4872 -948
1922 7303 -939
6767 3258 -455
7440 493 590
5420 1700 129
8060 1034 613
3209 2781 689
5464 569 -928
935 656 711
9 8400 832
3614 5348 -763
8243 245 703
3641 2163 954
2960 6808 -682
6440 3899 605
2427 3331 940
3629 372 -329
3974 8126 356
7783 514 -672
5776 4367 80
5997 4201 24
8265 5979 -594
7310 4036 -654
4710 6839 2
3504 1069 -217
4040 1712 262
4328 5277 -501
4866 6858 911
5638 1632 372
281 1830 -64
1731 3392 -201
5 1951 116
998 7321 923
1021 2943 213
5603 7634 -118
7197 2300 557
3006 1463 484
1744 8276 -709
5393 4664 -91
4271 3861 492
2309 2236 -286
4450 7106 189
7869 5134 -712
7225 6804 767
1632 6393 77
6585 7401 573
8085 399 -393
6139 6325 650
2056 4283 162
7115 7161 -247
6499 5268 169
6400 7720 -51
2292 5816 798
6006 4103 749
6785 7036 -510
7594 5945 965
4320 7751 935
954 2691 -521
3141 3463 265
4342 743 -473
6847 7049 226
7048 851 -315
7895 6020 -643
6678 8388 -320
7982 5177 -919
5313 2281 206
6747 1198 -691
5888 2418 -517
5838 6599 -326
5564 233 -207
3824 1130 146
875 2688 -879
2039 4557 -271
6772 6249 -701
3914 7168 236
207 5378 -12
6108 4235 998
2010 5508 -558
6898 3611 -562
1445 3451 -979
3343 7589 742
6212 3216 -113
2790 8156 663
2930 5699 181
968 6954 -220
7744 3179 -869
3908 1699 -216
4559 4029 660
1340 5667 -577
2933 2492 -155
8327 6067 -458
433 8092 -876
3522 867 -5
2553 1622 -504
403 2154 830
185 814 103
8160 5544 920
4124 344 -600
7124 1298 -272
5455 3228 -160
680 5030 -518
7302 7702 -853
5627 7437 583
1164 94 -643
772 3613 775
2059 304 -387
918 510 -610
7392 74 -586
2920 7255 -43
3979 4881 737
1730 7039 -796
4293 6783 -699
4500 7708 959
2683 4334 -140
406 962 -130
5915 7257 197
7706 4426 557
2158 4221 160
6935 5838 855
6426 3822 -328
8064 2252 -719
1988 5541 496
8266 5243 251
6619 8406 658
5759 4646 -680
676 2367 -654
6636 4057 -103
3509 3841 -420
588 3064 -878
6675 8199 567
5924 3543 401
3294 5840 505
7831 6751 115
5819 3542 -135
7615 2889 -934
1227 868 -335
1180 4301 603
995 2164 -618
2689 8177 -880
3980 1479 -801
932 1630 374
8323 3694 -797
7926 8230 497
