817 2445
558 6 145
472 723 283
207 590 202
808 97 213
351 516 259
687 653 397
97 735 956
344 311 43
744 668 396
418 699 663
171 664 552
83 72 695
425 199 446
605 450 617
235 741 818
283 604 3
442 480 352
675 272 65
34 742 609
730 471 827
726 687 742
760 554 110
146 379 411
775 186 303
17 807 61
464 331 591
751 64 323
476 275 228
478 111 82
192 114 613
203 673 726
368 782 759
102 354 238
481 446 851
614 363 949
476 392 219
230 737 410
524 595 186
574 503 774
156 588 202
324 655 662
657 506 739
584 651 203
266 641 862
777 700 515
626 529 846
416 185 335
456 449 963
415 166 490
67 641 978
343 364 43
668 84 482
348 250 351
67 755 383
219 15 784
229 774 476
386 430 933
474 685 571
82 792 65
248 18 589
492 262 290
215 333 537
373 678 442
535 320 878
313 203 375
759 172 695
53 304 680
668 578 878
300 464 337
122 169 579
73 625 833
39 671 982
344 563 252
42 100 240
502 386 194
101 522 862
572 488 378
584 91 607
497 811 857
659 212 857
139 345 106
749 564 605
73 391 783
197 324 746
532 742 526
74 319 284
762 491 391
524 62 547
794 791 55
237 480 957
677 518 906
719 456 381
399 517 951
794 538 784
174 55 318
611 555 653
618 452 979
316 196 926
296 410 860
299 650 177
507 554 907
348 603 504
67 340 993
14 799 64
196 571 509
594 238 119
637 645 276
501 668 145
478 25 328
409 293 198
585 348 287
20 199 842
575 399 399
374 380 536
363 571 581
440 776 272
134 571 476
677 263 175
326 35 146
296 134 712
519 799 213
108 741 410
261 206 712
180 485 725
425 457 355
206 123 240
720 773 561
105 558 553
410 539 782
585 531 886
288 242 997
584 565 730
297 667 875
112 566 343
767 599 304
350 479 615
201 252 999
11 810 412
156 319 311
275 455 476
57 118 740
270 538 662
710 712 695
670 759 445
550 530 448
33 743 903
769 315 149
185 643 769
553 57 649
533 342 670
198 565 306
47 15 623
378 217 337
740 737 342
207 337 556
2 130 317
303 566 598
612 799 843
619 716 850
566 509 971
20 11 126
472 452 306
718 366 656
187 615 451
340 422 114
52 576 155
580 434 408
570 748 27
594 480 197
124 700 425
800 218 22
498 451 258
36 817 625
491 90 673
537 561 579
526 159 555
140 657 84
374 5 282
610 680 942
404 290 699
194 12 564
478 230 763
666 254 840
6 740 692
590 609 821
553 82 755
286 306 990
304 460 340
52 347 765
623 436 948
760 88 736
536 209 958
366 766 798
620 730 822
615 529 480
367 745 667
50 100 862
520 756 381
795 242 402
168 456 1000
765 681 289
651 611 843
646 754 558
718 658 938
654 213 874
287 517 978
585 589 196
323 20 451
240 139 711
502 461 61
389 345 859
389 327 800
790 767 483
194 359 134
278 630 945
768 486 140
212 293 486
601 107 39
388 774 499
624 345 345
98 166 235
610 25 696
414 556 422
196 665 830
343 450 246
663 281 423
773 646 585
531 117 720
202 549 264
502 790 269
594 362 585
49 646 203
265 21 480
807 662 438
234 163 338
559 803 760
376 420 926
98 670 333
109 521 12
184 531 2
37 98 202
195 102 53
601 698 706
661 159 742
117 605 834
135 735 830
245 442 825
578 474 719
682 20 85
555 121 405
49 444 167
62 481 586
482 537 496
177 665 319
447 49 302
321 429 871
165 271 29
81 594 939
278 345 781
38 775 523
486 409 775
249 568 354
400 475 356
730 346 944
617 13 383
343 504 371
78 609 394
511 445 213
168 674 49
674 96 786
681 241 381
195 217 715
109 474 734
188 575 420
13 203 851
339 158 365
222 477 631
140 745 179
791 317 222
442 457 774
412 659 787
97 363 966
144 484 789
52 90 156
253 245 648
458 87 395
617 686 735
316 470 963
276 777 620
320 140 269
709 710 922
76 804 421
794 723 562
728 309 682
637 4 447
283 789 385
811 506 10
663 251 571
465 783 914
783 710 141
562 173 245
665 638 201
608 230 974
362 426 246
428 682 832
42 644 547
306 690 5
118 123 420
799 102 249
590 505 694
264 283 464
532 444 296
68 762 960
781 475 376
412 282 610
506 467 455
96 610 707
337 355 54
470 459 495
749 13 268
669 441 993
793 385 753
244 517 812
136 663 517
816 38 309
83 219 884
463 627 476
449 31 307
377 726 3
734 195 908
624 463 380
285 27 50
251 94 336
376 217 264
22 250 968
769 753 218
803 344 546
686 192 691
73 768 539
521 200 703
60 375 166
609 50 811
446 808 339
201 711 946
473 39 439
716 123 449
785 649 491
172 16 688
539 476 763
69 599 422
509 291 204
386 191 219
48 200 537
147 736 672
727 1 348
598 245 621
614 749 25
199 366 143
670 64 851
443 186 515
318 511 95
347 562 921
419 786 380
588 431 135
625 64 448
124 486 318
300 551 116
312 478 225
558 70 191
530 521 741
791 291 437
811 66 860
173 455 650
464 242 910
569 286 994
146 158 13
259 668 909
183 462 186
721 691 452
244 11 948
136 268 380
129 311 14
677 152 340
48 538 240
806 611 462
28 176 883
527 672 534
270 618 457
355 197 633
85 313 220
402 568 522
676 34 72
468 477 63
142 49 94
488 704 871
222 453 32
298 299 728
688 543 381
572 762 39
402 462 998
194 434 859
793 371 289
709 296 646
430 201 446
542 755 400
789 257 530
11 382 782
625 727 463
65 495 255
727 85 152
348 17 616
798 793 525
18 266 589
560 122 542
806 508 381
670 73 136
40 652 635
593 390 754
441 248 575
125 455 518
496 663 556
304 512 295
22 551 512
530 475 199
526 405 487
353 413 667
443 810 711
458 536 871
627 465 736
653 646 360
473 612 589
684 250 679
327 21 126
276 543 170
253 693 958
761 258 542
372 663 551
127 538 447
352 16 417
538 603 881
439 389 195
693 335 533
344 221 476
288 727 393
292 151 702
615 222 616
78 263 866
469 751 485
619 314 366
344 492 72
158 207 195
80 33 309
537 172 846
424 250 158
816 409 787
221 428 643
10 743 691
318 675 705
230 272 959
56 254 893
673 200 332
713 270 26
453 745 985
117 601 783
320 680 726
539 366 321
629 335 830
79 369 441
207 216 765
763 117 547
511 694 447
714 273 82
185 140 871
492 786 679
677 502 647
651 256 71
323 518 864
83 142 67
137 405 918
36 433 654
391 194 277
95 123 92
265 235 289
334 400 505
454 729 249
417 714 850
174 475 826
620 780 28
238 263 133
590 529 47
372 511 462
91 451 516
44 551 674
773 294 340
633 425 864
629 480 934
673 436 578
130 396 690
63 560 590
156 415 756
20 243 157
232 343 289
403 706 375
430 382 823
126 527 141
450 555 626
610 679 332
548 307 52
672 281 487
235 454 756
385 84 465
509 714 272
265 254 412
121 74 413
400 748 2
800 234 553
737 279 32
290 279 554
439 356 461
89 183 911
422 581 542
586 772 403
19 557 972
152 473 966
258 147 464
599 719 297
633 274 315
600 295 418
96 279 5
133 106 28
633 723 115
253 365 412
482 590 696
390 274 47
716 117 677
146 402 766
745 391 580
562 785 640
305 519 82
249 392 363
105 485 421
214 304 195
30 163 344
328 74 15
516 295 256
53 172 431
749 450 928
618 756 114
182 575 670
89 769 505
529 222 898
182 592 781
71 363 517
512 560 233
497 415 32
226 384 663
428 6 902
339 504 17
70 494 548
710 563 226
563 73 294
778 666 301
271 29 106
200 666 651
341 348 704
245 673 523
658 29 477
673 726 135
211 180 445
591 145 36
694 70 883
523 78 84
327 82 479
286 730 650
15 546 770
456 57 467
372 539 791
278 400 406
180 168 970
284 567 259
220 408 230
802 40 223
48 234 487
512 553 695
167 751 959
194 575 629
704 261 304
7 213 20
538 6 53
564 286 234
143 741 697
681 607 671
263 805 885
574 813 410
644 246 329
55 331 282
479 528 927
21 339 897
371 783 833
289 409 834
118 801 204
74 405 603
625 682 992
775 755 794
295 272 946
504 514 150
541 755 405
349 85 508
98 235 139
272 40 612
483 448 403
535 732 490
724 670 785
396 364 848
662 100 219
482 633 699
650 79 92
196 205 899
814 763 772
623 344 132
338 110 911
572 351 661
319 518 767
160 17 67
244 685 577
340 98 544
440 220 423
33 152 747
552 612 533
679 311 916
22 178 515
29 767 130
435 678 630
162 521 723
388 733 530
475 451 150
514 513 277
113 600 299
7 134 905
276 237 458
331 661 327
752 397 549
791 255 896
368 410 425
667 638 205
568 403 380
172 212 660
317 63 142
331 28 347
741 279 201
114 808 487
583 662 582
267 324 189
692 387 958
324 513 306
110 371 41
615 469 567
130 172 333
13 479 517
555 638 226
226 598 445
301 364 228
131 429 131
478 81 141
14 421 219
445 521 988
553 813 99
708 189 541
540 167 944
65 378 719
100 559 431
580 314 355
380 353 553
520 216 12
370 304 650
182 5 603
446 775 78
32 145 885
167 101 901
805 305 460
227 237 44
30 190 119
281 506 729
758 49 994
743 520 153
569 636 572
796 535 164
502 203 501
98 559 264
162 254 948
669 397 919
95 735 964
162 317 118
401 783 993
401 478 216
341 540 51
649 265 991
483 250 55
51 132 116
558 76 810
782 176 132
422 328 939
449 641 318
408 39 176
396 585 207
749 681 743
593 307 942
764 691 941
238 535 725
12 767 964
180 175 158
111 813 32
129 361 959
90 470 693
271 728 980
553 300 837
442 757 874
67 99 820
534 279 544
532 14 90
236 563 548
549 90 10
127 547 574
560 350 45
106 276 347
312 285 271
139 20 206
35 415 157
770 65 137
128 174 251
6 639 384
161 68 194
484 369 844
575 97 69
285 735 11
702 69 877
474 793 524
625 630 336
181 201 661
535 243 704
408 300 911
674 412 561
187 216 181
208 481 25
300 661 501
514 742 612
571 743 83
459 785 248
37 515 456
88 64 717
88 661 605
493 247 40
647 145 439
304 68 968
405 390 262
546 530 4
680 11 332
104 693 233
556 129 636
666 174 379
812 576 995
800 102 336
306 730 439
110 764 22
8 448 456
696 571 246
201 662 53
416 490 361
552 261 925
399 502 709
646 159 682
323 532 840
266 674 953
335 498 674
138 425 213
228 73 638
2 478 351
309 373 800
666 495 345
648 740 293
58 689 447
400 210 190
1 743 206
96 662 622
467 171 515
737 295 819
176 456 192
412 469 684
398 486 83
450 470 1
770 361 267
590 326 888
148 629 62
379 570 503
257 592 134
546 452 346
60 193 404
446 720 609
473 266 477
466 423 53
260 462 514
156 214 409
498 493 796
559 430 811
180 795 878
604 93 932
184 205 601
598 717 455
102 130 442
492 506 690
505 95 702
491 10 641
660 719 992
749 386 989
24 343 688
750 400 901
326 453 569
277 338 161
577 504 254
544 505 723
583 430 25
35 210 820
289 641 68
446 609 342
312 132 874
236 162 659
599 25 69
785 377 176
304 61 477
38 22 460
84 264 423
558 427 235
328 621 952
566 764 290
196 731 630
642 5 570
118 473 583
746 443 125
219 512 697
238 682 398
187 487 525
155 380 839
717 125 658
600 683 172
696 145 347
497 6 251
119 12 154
629 584 49
88 789 897
603 576 200
191 558 134
332 786 117
368 192 753
612 199 149
378 194 434
232 691 778
785 347 448
629 812 764
615 213 707
680 721 955
450 658 25
526 198 308
477 316 124
103 494 605
777 153 628
158 365 564
656 93 148
97 480 564
776 12 430
602 808 435
563 434 909
188 143 916
499 110 131
693 328 928
588 167 966
45 23 372
484 178 175
652 497 973
280 79 744
256 646 889
508 555 27
8 672 629
595 616 367
381 44 796
31 203 296
672 635 762
551 815 122
45 504 48
764 778 190
351 148 197
239 670 582
55 487 58
696 69 34
354 83 991
378 444 817
392 583 216
693 287 420
505 510 858
504 778 881
84 726 439
264 205 731
342 627 788
760 543 445
51 38 560
154 669 94
153 384 542
42 568 295
530 698 226
78 491 49
233 583 269
676 159 585
223 529 733
186 706 267
516 729 545
723 442 275
331 636 836
383 295 799
351 743 967
100 128 18
394 754 652
545 205 675
488 24 442
754 394 152
749 337 609
701 557 290
92 202 31
240 578 335
452 812 126
658 664 875
495 275 500
796 697 949
566 240 379
219 754 976
293 809 813
453 810 231
383 569 760
239 252 951
215 707 147
421 149 368
64 554 234
501 270 353
505 719 619
634 109 438
313 3 359
357 517 343
186 646 221
680 283 308
628 704 903
383 578 612
326 335 634
85 603 510
252 758 165
692 502 347
198 95 701
257 310 41
427 17 996
26 395 374
305 505 656
389 350 544
633 619 369
84 89 177
44 371 746
444 156 111
464 165 3
402 752 940
23 576 129
739 136 801
219 37 283
469 92 509
575 588 70
529 557 377
607 572 928
131 428 164
676 675 31
271 811 391
541 373 388
752 406 857
210 330 120
223 681 108
179 623 37
76 39 535
623 338 205
527 291 37
103 314 516
208 200 19
141 580 464
122 717 193
247 595 721
124 337 436
259 528 703
335 487 439
636 569 798
432 159 768
594 392 427
275 415 972
356 214 443
179 548 908
569 312 140
361 320 133
309 683 590
81 770 663
367 704 345
182 451 995
225 229 87
556 339 234
140 98 284
149 124 64
331 532 666
564 599 192
338 343 191
712 799 114
367 156 832
176 663 301
768 206 174
778 671 938
89 718 840
635 804 880
584 63 61
703 93 776
749 620 921
278 573 116
64 577 898
779 732 500
324 190 375
439 34 47
25 354 817
521 193 615
751 285 268
99 200 619
86 668 72
308 175 574
95 560 638
599 554 566
366 113 647
554 784 937
433 345 452
426 11 494
488 326 98
603 205 80
190 769 792
461 487 643
39 200 342
22 641 307
755 531 246
650 72 176
194 271 347
587 388 395
343 759 177
152 196 98
716 151 658
396 678 415
680 236 326
132 95 478
379 170 989
585 17 588
729 550 608
566 716 555
516 415 310
470 477 480
438 28 87
220 537 973
391 689 347
600 514 141
173 355 577
655 243 619
386 53 498
94 225 708
365 428 650
93 238 524
601 410 96
306 557 542
402 525 826
695 269 859
368 300 566
730 237 24
580 98 941
42 99 397
505 246 309
309 355 283
563 400 470
454 197 995
150 261 389
73 28 76
302 432 609
277 83 685
680 162 366
162 730 136
407 127 504
708 552 530
47 45 962
360 537 817
303 523 125
327 650 945
691 404 96
545 132 877
517 505 311
48 343 149
681 135 36
98 341 262
164 418 863
238 321 698
775 680 571
586 113 955
166 605 235
33 291 823
748 10 756
647 71 463
624 149 153
501 492 633
227 735 757
174 94 396
681 354 101
365 391 564
730 227 341
309 713 965
191 75 459
89 563 386
91 178 851
596 612 136
534 176 135
180 431 919
491 192 520
791 138 202
199 613 849
291 680 19
174 230 602
629 287 646
749 291 243
587 228 536
585 332 603
615 242 380
685 122 920
487 357 854
1 710 557
442 798 803
714 269 371
486 425 661
274 505 984
80 728 818
531 441 723
765 279 460
734 635 186
356 805 950
207 273 403
308 556 474
430 72 851
506 422 129
622 602 158
375 296 600
491 271 877
2 348 514
692 398 112
92 131 745
386 647 765
498 203 985
23 179 729
191 489 817
393 488 849
674 684 44
393 406 864
452 681 924
495 706 661
592 169 538
707 739 677
554 254 471
192 738 618
780 756 537
400 26 873
423 646 325
168 316 47
213 280 393
520 200 114
220 656 797
120 20 199
316 49 542
178 606 79
226 435 543
262 592 429
268 92 680
685 82 890
478 626 136
644 112 453
464 599 49
772 204 787
351 171 307
707 483 653
616 516 928
83 313 445
754 406 191
277 733 469
534 488 502
593 77 777
122 433 37
534 391 845
580 620 280
497 395 187
144 555 652
650 1 858
242 396 331
727 344 16
445 796 157
8 511 811
727 767 546
563 686 378
523 285 89
528 784 100
219 647 517
417 669 394
299 457 807
362 626 454
742 789 348
255 191 960
383 729 628
87 559 431
243 101 12
239 149 841
786 730 392
395 516 214
401 244 745
92 511 406
576 324 477
646 271 57
451 397 105
233 254 438
812 581 759
551 108 223
301 790 84
648 347 786
677 375 162
183 283 460
282 757 258
363 172 19
336 556 464
330 51 219
224 533 775
656 416 629
254 692 626
154 522 228
213 674 751
371 196 413
683 501 615
552 587 318
761 120 303
471 337 242
325 506 10
667 77 318
699 410 898
477 234 222
141 374 966
542 581 595
441 659 828
167 465 737
459 464 79
801 458 213
220 55 601
412 65 662
41 493 811
584 800 779
320 366 972
69 298 374
583 509 144
807 441 845
418 771 846
456 174 956
227 118 768
46 127 268
157 54 262
285 246 852
276 292 608
406 593 716
224 182 934
79 297 139
232 599 524
643 720 989
16 711 842
466 455 66
679 515 478
458 63 441
688 241 864
720 672 218
125 498 472
326 617 539
408 794 498
502 248 73
73 224 276
111 182 752
187 213 971
173 57 937
715 648 659
269 119 317
249 170 403
653 144 572
630 744 909
212 357 339
232 482 603
335 553 790
408 536 252
718 648 336
352 186 406
494 309 789
388 786 671
192 460 757
612 174 514
441 40 298
610 120 443
803 359 991
531 514 674
78 120 364
195 354 926
341 491 140
338 670 164
449 722 643
238 310 307
643 594 963
292 774 652
296 471 703
703 524 175
743 414 119
696 74 522
459 456 664
103 384 995
545 362 946
575 46 212
800 299 318
291 556 723
185 204 730
230 413 141
406 659 410
674 63 238
442 253 367
142 725 71
231 292 501
165 208 258
274 611 743
441 559 994
564 247 517
641 377 767
715 117 546
46 388 196
112 236 587
110 501 313
431 354 608
322 255 804
583 607 99
278 124 5
457 480 378
540 152 108
474 795 728
504 519 468
634 533 27
15 619 154
488 574 318
252 799 427
814 239 924
814 298 921
801 510 910
603 127 571
659 573 295
557 801 894
251 515 386
289 642 54
145 64 15
117 535 995
188 571 85
199 390 535
576 802 269
49 766 374
183 336 978
758 343 281
405 512 346
256 268 592
195 358 279
528 147 530
795 547 262
289 811 646
34 92 879
582 40 266
773 439 291
335 713 913
546 368 76
388 13 207
690 776 784
122 108 277
153 122 281
410 535 776
105 807 924
400 511 207
15 27 777
809 565 110
380 204 714
443 169 947
741 419 562
680 492 129
102 558 740
180 163 273
629 456 69
220 451 951
725 582 336
169 342 446
276 788 4
112 607 432
514 667 345
177 294 174
547 629 998
147 64 604
571 255 698
749 665 355
748 368 54
332 337 583
464 528 445
752 625 384
605 755 237
243 171 410
508 720 541
447 621 866
557 815 638
707 446 177
234 83 595
301 540 455
326 419 267
485 122 742
212 236 390
195 796 771
159 105 166
445 699 327
